anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3,produccion_mes_anterior,produccion_dos_meses_antes,promedio_3_meses,variacion_mes_anterior
2019,4,2019-04,Chubut,Producción convencional,267567.052,278288.691,248744.495,265779.9119,29544.195999999996
2019,5,2019-05,Chubut,Producción convencional,273242.005,267567.052,278288.691,264866.746,-10721.638999999966
2019,6,2019-06,Chubut,Producción convencional,268606.51,273242.005,267567.052,273032.58266666665,5674.9529999999795
2019,7,2019-07,Chubut,Producción convencional,277498.531,268606.51,273242.005,269805.189,-4635.494999999995
2019,8,2019-08,Chubut,Producción convencional,273942.563496893,277498.531,268606.51,273115.68200000003,8892.021000000008
2019,9,2019-09,Chubut,Producción convencional,255690.200098714,273942.563496893,277498.531,273349.20149896434,-3555.9675031070365
2019,10,2019-10,Chubut,Producción convencional,265469.567409722,255690.200098714,273942.563496893,269043.7648652023,-18252.363398178975
2019,11,2019-11,Chubut,Producción convencional,251038.011032099,265469.567409722,255690.200098714,265034.11033510964,9779.367311008013
2019,12,2019-12,Chubut,Producción convencional,251909.894605344,251038.011032099,265469.567409722,257399.25951351167,-14431.556377623026
2020,1,2020-01,Chubut,Producción convencional,260448.847784563,251909.894605344,251038.011032099,256139.15768238832,871.8835732449952
2020,2,2020-02,Chubut,Producción convencional,235562.381115648,260448.847784563,251909.894605344,254465.584474002,8538.95317921901
2020,3,2020-03,Chubut,Producción convencional,270125.51166245,235562.381115648,260448.847784563,249307.04116851834,-24886.466668915004
2020,4,2020-04,Chubut,Producción convencional,252748.899928461,270125.51166245,235562.381115648,255378.913520887,34563.130546801985
2020,5,2020-05,Chubut,Producción convencional,253592.492641513,252748.899928461,270125.51166245,252812.26423551966,-17376.611733988975
2020,6,2020-06,Chubut,Producción convencional,241156.921,253592.492641513,252748.899928461,258822.301410808,843.5927130519995
2020,7,2020-07,Chubut,Producción convencional,242765.958,241156.921,253592.492641513,249166.10452332464,-12435.571641513001
2020,8,2020-08,Chubut,Producción convencional,237830.201,242765.958,241156.921,245838.45721383765,1609.0370000000112
2020,9,2020-09,Chubut,Producción convencional,238741.392,237830.201,242765.958,240584.36,-4935.757000000012
2020,10,2020-10,Chubut,Producción convencional,245181.169,238741.392,237830.201,239779.18366666665,911.1909999999916
2020,11,2020-11,Chubut,Producción convencional,234779.472,245181.169,238741.392,240584.25399999996,6439.777000000002
2020,12,2020-12,Chubut,Producción convencional,243892.892,234779.472,245181.169,239567.3443333333,-10401.696999999986
2021,1,2021-01,Chubut,Producción convencional,247638.586,243892.892,234779.472,241284.51099999997,9113.419999999984
2021,2,2021-02,Chubut,Producción convencional,220163.729,247638.586,243892.892,242103.65,3745.6940000000177
2021,3,2021-03,Chubut,Producción convencional,246484.199,220163.729,247638.586,237231.73566666665,-27474.857000000018
2021,4,2021-04,Chubut,Producción convencional,235686.316,246484.199,220163.729,238095.50466666665,26320.47
2021,5,2021-05,Chubut,Producción convencional,242427.95,235686.316,246484.199,234111.41466666665,-10797.883000000002
2021,6,2021-06,Chubut,Producción convencional,244567.3633,242427.95,235686.316,241532.82166666666,6741.63400000002
2021,7,2021-07,Chubut,Producción convencional,249942.34,244567.3633,242427.95,240893.8764333333,2139.4132999999856
2021,8,2021-08,Chubut,Producción convencional,251488.7194,249942.34,244567.3633,245645.8844333333,5374.976699999999
